obs,P,PC,PS,Q,Y
1962,1.78,1.11,6.95,81.7,25088
1963,2.27,0.67,7.32,56.9,26561
1964,2.21,0.83,6.96,64.1,25510
1965,2.15,0.75,7.18,65.4,27158
1966,2.26,1.06,7.46,64.1,27162
1967,2.49,1.1,7.47,58.1,27583
1968,2.52,1.09,7.88,61.7,28235
1969,2.46,1.18,7.88,65.3,29413
1970,2.54,0.88,7.97,57.8,28713
1971,2.72,1.3,7.96,63.5,30000
1972,2.6,1.17,8.09,65.9,30533
1973,2.87,0.94,8.24,48.3,30373
1974,3,0.91,7.96,55.6,31107
1975,3.23,1.1,8.34,47.9,31126
1976,3.11,1.5,8.1,57,32506
1977,3.11,1.17,8.43,51.6,32408
1978,3.09,1.18,8.72,54.2,33423
1979,3.34,1.37,8.87,51.7,33904
1980,3.31,1.52,8.82,55.9,34528
1981,3.42,1.15,8.59,52.1,36019
1982,3.61,1.39,8.83,52.5,34807
1983,3.55,1.6,8.86,44.3,35953
1984,3.72,1.73,8.97,57.7,37323
1985,3.72,1.35,9.13,51.6,36682
1986,3.7,1.37,8.98,53.8,38054
1987,3.81,1.41,9.25,50,36707
1988,3.86,1.62,9.33,46.3,38411
1989,3.99,1.69,9.47,46.8,38823
1990,3.89,1.71,9.49,51.7,38361
1991,4.07,1.69,9.52,49.9,41593
1992,3,1,8,NA,30000
