T,X
154.800003051758,3
210,9
107,13
84.9000015258789,16
60,19
45,22
137,31
172,43
186.600006103516,56
73,61
141.899993896484,72
110.800003051758,81
92.4000015258789,88
85.3000030517578,95
97,102
96.5,109
67.5999984741211,115
125,126
120.5,136
131.800003051758,148
139.800003051758,161
103.199996948242,171
154,185
159,199
176,215
127.300003051758,226
173.5,244
197.399993896484,264
221.800003051758,284
132.100006103516,297
167.699996948242,313
134.100006103516,328
193.100006103516,346
177.100006103516,364
174.100006103516,382
183.699996948242,401
175,419
185.399993896484,438
160.600006103516,456
146.199996948242,473
108.699996948242,485
146.5,501
55.7000007629395,507
128.199996948242,521
178.899993896484,542
174.600006103516,562
158,580
190.300003051758,602
150.800003051758,619
187.5,640
151.600006103516,657
190.5,678
217,703
194.5,725
194.300003051758,747
116.599998474121,761
159.300003051758,779
203.300003051758,802
177.5,824
187.199996948242,847
