ACTIVIDAD,EDAD,INVERSION,INTERES,SEXO
0,11,0,0,0
0,14,0,0,1
0,19,400,1,0
0,19,0,0,1
0,21,50,1,0
0,22,0,0,1
1,23,21,1,1
1,23,30,1,1
0,23,300,1,0
1,24,214,1,1
0,24,0,0,1
1,25,25,1,1
0,25,100,1,1
0,25,0,0,0
0,25,0,0,0
1,26,0,0,1
0,27,10,1,0
0,27,0,0,1
0,27,0,0,1
0,27,0,0,0
0,27,0,0,1
0,28,100,1,1
0,28,20,1,1
1,28,50,1,1
1,28,0,0,1
0,28,0,0,1
0,29,100,1,1
1,29,200,1,0
0,29,200,1,1
0,29,60,1,1
1,29,50,1,1
0,29,0,0,1
0,29,0,0,1
0,29,0,0,1
0,30,64,1,0
1,30,200,1,1
0,30,10,1,1
1,30,90,1,1
0,30,100,1,1
0,30,0,0,0
0,30,0,0,0
0,30,0,0,0
0,30,0,0,1
0,30,0,0,0
0,30,0,0,1
0,30,0,0,1
0,30,0,0,1
0,30,0,0,0
0,31,50,1,1
0,31,50,1,0
0,31,53,1,1
1,31,300,1,1
0,31,0,0,1
0,31,0,0,1
0,31,0,0,0
0,31,0,0,0
0,31,0,0,1
0,32,50,1,0
0,32,100,1,1
0,32,60,1,1
0,32,20,1,1
0,32,100,1,0
0,32,100,1,1
0,32,0,0,0
0,32,0,0,1
0,32,0,0,1
0,32,0,0,1
0,32,0,0,1
0,32,0,0,0
0,32,0,0,0
0,33,200,1,1
0,33,21,1,0
1,33,26,1,1
0,33,400,1,1
0,33,30,1,1
1,33,100,1,0
1,33,100,1,1
0,33,100,1,1
0,33,0,0,0
0,33,0,0,1
0,33,0,0,1
0,33,0,0,1
0,33,0,0,1
0,33,0,0,0
0,33,0,0,0
0,33,0,0,0
0,33,0,0,0
0,33,0,0,1
0,34,25,1,1
0,34,53,1,1
0,34,675,1,0
0,34,54,1,1
1,34,53,1,1
0,34,100,1,1
1,34,99,1,1
0,34,0,0,0
0,34,0,0,1
0,34,0,0,0
1,35,107,1,1
0,35,50,1,1
0,35,100,1,1
0,35,100,1,1
0,35,75,1,1
0,35,0,0,0
0,35,0,0,0
1,35,0,0,1
0,35,0,0,1
0,35,0,0,1
0,35,0,0,0
1,35,0,0,1
1,35,0,0,1
0,35,0,0,0
0,35,0,0,1
0,35,0,0,0
0,36,70,1,1
0,36,300,1,0
0,36,75,1,1
0,36,48,1,0
0,36,160,1,1
0,36,100,1,1
0,36,170,1,1
0,36,50,1,1
0,36,100,1,1
0,36,100,1,1
0,36,0,0,1
0,36,0,0,1
0,36,0,0,0
0,36,0,0,0
0,36,0,0,1
0,36,0,0,0
0,36,0,0,1
0,36,0,0,1
0,36,0,0,1
0,37,250,1,1
0,37,15,1,1
0,37,75,1,0
0,37,50,1,1
0,37,150,1,0
0,37,53,1,1
0,37,35,1,1
0,37,0,0,0
0,37,0,0,0
0,37,0,0,0
0,37,0,0,1
0,37,0,0,1
0,37,0,0,1
0,37,0,0,0
0,37,0,0,0
0,37,0,0,0
0,37,0,0,0
0,37,0,0,1
0,37,0,0,1
0,37,0,0,1
0,38,50,1,1
0,38,50,1,1
0,38,250,1,0
1,38,200,1,1
0,38,200,1,1
0,38,53,1,1
0,38,21,1,1
0,38,160,1,1
0,38,50,1,1
0,38,179,1,1
1,38,25,1,1
0,38,16,1,0
0,38,100,1,1
0,38,0,0,1
0,38,0,0,1
0,38,0,0,1
0,38,0,0,1
0,38,0,0,1
0,38,0,0,1
0,38,0,0,1
0,38,0,0,0
0,38,0,0,1
0,38,0,0,1
0,38,0,0,1
0,38,0,0,1
0,38,0,0,0
0,38,0,0,0
0,38,0,0,0
1,38,0,0,1
1,38,0,0,0
0,38,0,0,0
1,39,100,1,1
0,39,50,1,1
1,39,10,1,1
0,39,107,1,1
1,39,258,1,1
1,39,32,1,1
0,39,100,1,1
0,39,250,1,0
0,39,140,1,1
0,39,10,1,1
0,39,50,1,0
0,39,250,1,0
1,39,10,1,1
0,39,0,0,0
0,39,0,0,0
0,39,0,0,1
0,39,0,0,1
1,39,0,0,1
0,39,0,0,0
0,39,0,0,0
0,39,0,0,1
0,39,0,0,0
0,39,0,0,1
0,39,0,0,0
1,39,0,0,1
0,40,428,1,1
1,40,10,1,0
0,40,110,1,1
0,40,535,1,1
1,40,25,1,1
0,40,76,1,1
0,40,100,1,1
0,40,50,1,1
0,40,100,1,1
0,40,250,1,1
0,40,20,1,1
0,40,70,1,1
0,40,30,1,1
0,40,250,1,1
0,40,53,1,0
1,40,32,1,1
0,40,75,1,1
0,40,50,1,1
1,40,250,1,1
0,40,50,1,1
0,40,53,1,1
0,40,0,0,1
0,40,0,0,0
0,40,0,0,0
0,40,0,0,0
0,40,0,0,1
0,40,0,0,0
0,40,0,0,1
0,40,0,0,1
0,40,0,0,0
0,40,0,0,0
1,40,0,0,0
0,40,0,0,1
0,40,0,0,1
0,40,0,0,1
0,40,0,0,1
0,40,0,0,1
0,41,100,1,1
1,41,53,1,1
0,41,100,1,1
0,41,100,1,1
1,41,107,1,1
0,41,150,1,1
1,41,100,1,1
0,41,198,1,1
0,41,50,1,1
0,41,22,1,1
1,41,150,1,1
1,41,100,1,1
0,41,200,1,1
0,41,250,1,1
0,41,150,1,1
0,41,50,1,1
0,41,0,0,0
1,41,0,0,1
0,41,0,0,0
0,41,0,0,1
0,41,0,0,1
0,41,0,0,1
0,41,0,0,1
0,41,0,0,1
0,41,0,0,0
0,41,0,0,1
1,41,0,0,0
0,41,0,0,1
0,42,30,1,0
1,42,107,1,1
0,42,50,1,1
0,42,50,1,1
1,42,100,1,1
1,42,100,1,0
1,42,20,1,0
0,42,100,1,1
0,42,100,1,0
1,42,400,1,0
1,42,200,1,1
0,42,100,1,1
0,42,140,1,1
0,42,100,1,1
0,42,107,1,1
0,42,53,1,0
0,42,0,0,0
1,42,0,0,1
0,42,0,0,1
0,42,0,0,0
0,42,0,0,0
0,42,0,0,0
0,42,0,0,1
0,42,0,0,0
0,42,0,0,1
0,42,0,0,0
0,42,0,0,1
0,43,321,1,1
1,43,75,1,1
1,43,70,1,1
1,43,35,1,1
0,43,100,1,1
0,43,53,1,1
0,43,200,1,1
0,43,535,1,0
0,43,25,1,1
0,43,100,1,1
0,43,50,1,1
0,43,300,1,1
1,43,25,1,1
1,43,0,0,1
0,43,0,0,1
0,43,0,0,1
0,43,0,0,1
1,43,0,0,1
0,43,0,0,0
0,43,0,0,1
0,43,0,0,1
1,44,107,1,1
1,44,500,1,1
0,44,21,1,1
0,44,50,1,1
1,44,100,1,1
1,44,200,1,0
1,44,386,1,1
0,44,100,1,1
1,44,250,1,1
0,44,200,1,1
0,44,10,1,1
0,44,100,1,1
0,44,300,1,0
1,44,50,1,1
0,44,0,0,0
0,44,0,0,0
0,44,0,0,1
0,44,0,0,0
0,44,0,0,0
0,44,0,0,0
0,44,0,0,0
0,44,0,0,1
0,44,0,0,0
0,44,0,0,0
0,44,0,0,1
0,44,0,0,1
0,44,0,0,1
0,44,0,0,1
0,45,100,1,1
1,45,50,1,1
0,45,50,1,1
0,45,214,1,0
0,45,10,1,1
0,45,100,1,1
0,45,0,0,1
0,45,0,0,1
0,45,0,0,0
0,45,0,0,1
0,45,0,0,0
0,45,0,0,1
0,45,0,0,0
0,45,0,0,1
0,45,0,0,1
0,45,0,0,0
0,45,0,0,1
0,45,0,0,1
0,45,0,0,1
0,45,0,0,0
0,46,250,1,1
0,46,110,1,0
0,46,500,1,1
0,46,3000,1,1
0,46,200,1,1
0,46,500,1,1
1,46,53,1,1
0,46,50,1,1
1,46,150,1,1
0,46,214,1,1
1,46,300,1,1
0,46,120,1,0
0,46,0,0,1
0,46,0,0,1
1,46,0,0,0
0,46,0,0,1
1,46,0,0,1
0,47,200,1,1
0,47,160,1,1
1,47,60,1,1
1,47,100,1,0
0,47,267,1,1
1,47,107,1,1
1,47,107,1,1
0,47,0,0,0
0,47,0,0,0
1,47,0,0,0
0,47,0,0,1
0,47,0,0,1
0,47,0,0,1
0,47,0,0,1
0,47,0,0,1
0,47,0,0,1
0,47,0,0,1
0,47,0,0,1
0,47,0,0,1
0,47,0,0,1
1,47,0,0,1
1,47,0,0,1
0,48,200,1,0
0,48,107,1,1
0,48,1337,1,1
0,48,50,1,0
0,48,100,1,1
1,48,30,1,1
0,48,107,1,1
0,48,985,1,0
0,48,25,1,1
0,48,53,1,1
0,48,0,0,0
1,48,0,0,0
0,48,0,0,1
0,48,0,0,0
1,48,0,0,0
0,48,0,0,0
1,48,0,0,1
0,48,0,0,1
0,48,0,0,0
0,48,0,0,0
0,48,0,0,1
0,48,0,0,1
1,49,30,1,1
1,49,25,1,1
0,49,749,1,1
0,49,100,1,1
0,49,100,1,1
0,49,110,1,1
0,49,235,1,1
0,49,16,1,1
0,49,100,1,1
0,49,100,1,1
0,49,42,1,1
0,49,200,1,1
0,49,250,1,1
1,49,50,1,1
0,49,100,1,1
0,49,303,1,1
0,49,0,0,1
0,49,0,0,1
0,49,0,0,1
0,49,0,0,0
0,49,0,0,1
0,49,0,0,1
0,49,0,0,1
0,49,0,0,0
0,50,600,1,1
0,50,49,1,0
0,50,100,1,1
0,50,300,1,1
0,50,200,1,0
1,50,100,1,1
0,50,32,1,1
0,50,80,1,1
1,50,150,1,1
0,50,300,1,1
1,50,214,1,0
1,50,100,1,1
0,50,214,1,0
0,50,250,1,1
0,50,100,1,1
0,50,0,0,0
0,50,0,0,1
1,50,0,0,0
0,50,0,0,1
0,50,0,0,1
0,50,0,0,1
0,50,0,0,0
0,50,0,0,0
0,50,0,0,1
0,50,0,0,1
0,50,0,0,1
0,50,0,0,1
0,51,500,1,0
0,51,50,1,1
0,51,100,1,1
1,51,100,1,1
0,51,50,1,1
0,51,428,1,1
1,51,45,1,1
1,51,75,1,1
0,51,535,1,1
1,51,114,1,1
0,51,0,0,1
0,51,0,0,1
1,51,0,0,1
0,51,0,0,1
0,51,0,0,1
0,52,44,1,1
0,52,10,1,1
0,52,491,1,1
1,52,148,1,0
0,52,100,1,1
0,52,50,1,1
0,52,21,1,1
1,52,30,1,0
1,52,10,1,1
1,52,25,1,1
0,52,0,0,1
0,52,0,0,1
0,52,0,0,0
0,52,0,0,0
0,52,0,0,1
0,52,0,0,0
0,52,0,0,0
0,52,0,0,1
0,53,100,1,1
0,53,1000,1,1
0,53,535,1,1
0,53,30,1,0
0,53,53,1,1
0,53,107,1,1
0,53,354,1,1
0,53,15,1,1
0,53,124,1,1
0,53,100,1,1
0,53,50,1,1
0,53,180,1,1
0,53,100,1,1
0,53,250,1,1
0,53,200,1,1
0,53,0,0,0
1,53,0,0,1
0,53,0,0,1
0,53,0,0,0
0,53,0,0,0
0,53,0,0,1
0,53,0,0,1
0,53,0,0,0
0,53,0,0,1
0,53,0,0,1
1,53,0,0,0
0,53,0,0,0
1,53,0,0,1
1,53,0,0,0
0,53,0,0,1
1,53,0,0,1
1,54,107,1,1
0,54,74,1,1
0,54,642,1,1
0,54,535,1,1
1,54,100,1,1
0,54,200,1,1
0,54,21,1,1
0,54,80,1,1
1,54,53,1,1
0,54,125,1,0
1,54,107,1,1
1,54,260,1,1
0,54,500,1,1
1,54,53,1,1
0,54,0,0,1
0,54,0,0,1
0,54,0,0,0
0,54,0,0,0
0,54,0,0,1
0,54,0,0,1
0,55,150,1,1
1,55,168,1,1
0,55,100,1,1
0,55,100,1,1
0,55,50,1,1
0,55,200,1,0
0,55,0,0,1
0,55,0,0,1
0,55,0,0,0
0,55,0,0,1
0,55,0,0,1
0,55,0,0,1
0,55,0,0,0
0,55,0,0,1
0,55,0,0,1
0,55,0,0,1
1,55,0,0,1
0,55,0,0,1
0,55,0,0,1
0,56,50,1,1
0,56,107,1,1
0,56,53,1,1
0,56,32,1,0
1,56,200,1,0
0,56,100,1,0
1,56,435,1,1
0,56,267,1,1
0,56,107,1,1
0,56,100,1,1
1,56,107,1,1
0,56,200,1,1
1,56,0,0,1
0,56,0,0,0
0,56,0,0,0
0,56,0,0,1
0,56,0,0,1
0,56,0,0,1
0,56,0,0,1
0,56,0,0,1
0,56,0,0,1
0,56,0,0,1
0,56,0,0,1
1,57,150,1,1
1,57,83,1,1
0,57,53,1,1
0,57,300,1,1
0,57,428,1,1
0,57,100,1,1
0,57,50,1,1
1,57,107,1,1
0,57,56,1,0
1,57,100,1,1
1,57,50,1,1
0,57,90,1,1
0,57,0,0,1
0,57,0,0,1
0,57,0,0,1
0,58,200,1,0
1,58,500,1,0
0,58,1140,1,1
0,58,100,1,1
1,58,50,1,1
0,58,18,1,1
0,58,107,1,1
0,58,160,1,1
0,58,100,1,1
0,58,267,1,1
0,58,50,1,1
0,58,200,1,1
0,58,0,0,1
0,58,0,0,1
1,58,0,0,1
0,58,0,0,1
0,58,0,0,1
0,58,0,0,1
0,58,0,0,1
1,59,250,1,1
0,59,50,1,1
1,59,100,1,0
0,59,100,1,1
0,59,100,1,1
0,59,53,1,1
0,59,250,1,0
0,59,200,1,0
0,59,260,1,1
1,59,70,1,1
0,59,107,1,1
0,59,0,0,0
0,59,0,0,1
0,59,0,0,1
0,59,0,0,0
0,59,0,0,0
0,59,0,0,1
1,59,0,0,1
0,59,0,0,1
0,60,300,1,1
0,60,200,1,1
1,60,80,1,1
0,60,176,1,1
0,60,535,1,1
0,60,500,1,1
0,60,20,1,1
0,60,250,1,0
1,60,200,1,1
0,60,26,1,1
0,60,300,1,1
1,60,50,1,1
0,60,80,1,0
0,60,0,0,0
0,60,0,0,1
0,60,0,0,1
0,61,500,1,1
1,61,53,1,1
0,61,400,1,1
1,61,107,1,1
0,61,33,1,1
1,61,267,1,0
0,61,214,1,1
1,61,560,1,1
0,61,0,0,1
0,61,0,0,0
0,61,0,0,1
0,61,0,0,1
0,61,0,0,1
0,61,0,0,1
0,61,0,0,1
0,61,0,0,1
1,61,0,0,0
0,61,0,0,1
0,61,0,0,1
0,61,0,0,1
0,62,40,1,0
1,62,250,1,1
0,62,107,1,1
0,62,200,1,1
0,62,150,1,1
0,62,500,1,1
0,62,200,1,1
1,62,147,1,1
0,62,29,1,1
0,62,16,1,1
0,62,400,1,0
0,62,400,1,1
0,62,107,1,1
1,62,151,1,1
0,62,0,0,0
1,62,0,0,1
0,62,0,0,1
0,62,0,0,1
1,62,0,0,1
0,62,0,0,1
1,62,0,0,1
0,62,0,0,0
1,63,100,1,1
1,63,293,1,0
0,63,200,1,0
0,63,428,1,0
0,63,100,1,1
1,63,107,1,1
0,63,50,1,1
0,63,21,1,1
0,63,84,1,1
0,63,0,0,1
0,63,0,0,1
0,63,0,0,1
0,63,0,0,0
0,63,0,0,0
0,63,0,0,1
0,63,0,0,0
0,63,0,0,0
0,63,0,0,1
0,63,0,0,1
1,64,250,1,1
0,64,133,1,1
0,64,1391,1,1
0,64,630,1,1
0,64,50,1,1
1,64,80,1,1
0,64,80,1,1
0,64,267,1,1
0,64,158,1,1
0,64,150,1,0
1,64,642,1,1
0,64,681,1,1
0,64,0,0,0
0,64,0,0,1
0,64,0,0,0
0,64,0,0,1
0,64,0,0,1
1,64,0,0,0
0,64,0,0,0
1,64,0,0,1
0,65,400,1,1
0,65,107,1,1
1,65,267,1,1
0,65,40,1,1
1,65,0,0,1
0,65,0,0,0
0,65,0,0,0
0,65,0,0,0
0,65,0,0,1
0,65,0,0,1
1,66,10,1,0
0,66,43,1,1
0,66,150,1,1
0,66,100,1,1
0,66,321,1,1
0,66,60,1,1
0,66,60,1,1
0,66,96,1,1
0,66,50,1,1
0,66,0,0,0
0,66,0,0,1
1,66,0,0,1
0,66,0,0,0
0,66,0,0,1
0,66,0,0,1
0,66,0,0,1
0,66,0,0,1
0,66,0,0,1
0,66,0,0,1
0,66,0,0,0
1,66,0,0,0
0,66,0,0,0
0,66,0,0,1
0,66,0,0,1
0,66,0,0,1
0,66,0,0,1
0,66,0,0,1
1,67,321,1,1
0,67,53,1,1
0,67,50,1,1
0,67,2000,1,1
0,67,100,1,0
0,67,25,1,1
1,67,60,1,1
0,67,107,1,1
0,67,0,0,1
0,67,0,0,1
0,67,0,0,0
0,67,0,0,0
1,68,107,1,1
0,68,107,1,1
1,68,207,1,1
1,68,50,1,0
0,68,50,1,1
0,68,500,1,1
0,68,50,1,1
1,68,107,1,1
1,68,150,1,1
0,68,0,0,1
0,68,0,0,1
1,68,0,0,0
0,68,0,0,0
1,68,0,0,1
0,68,0,0,0
0,68,0,0,1
0,68,0,0,0
0,68,0,0,1
1,68,0,0,1
0,68,0,0,1
0,68,0,0,0
1,68,0,0,1
1,68,0,0,1
0,69,53,1,1
0,69,321,1,0
0,69,214,1,0
0,69,100,1,1
0,69,200,1,1
0,69,250,1,1
0,69,200,1,1
0,69,0,0,1
0,69,0,0,0
0,69,0,0,1
1,69,0,0,1
0,69,0,0,1
0,69,0,0,0
1,69,0,0,0
0,70,107,1,1
0,70,600,1,1
0,70,270,1,1
0,70,100,1,1
0,70,250,1,0
0,70,34,1,1
1,70,300,1,1
0,70,107,1,1
0,70,100,1,1
0,70,13,1,1
0,70,50,1,0
0,70,142,1,1
0,70,107,1,1
0,70,55,1,1
0,70,160,1,0
0,70,0,0,1
0,70,0,0,1
0,70,0,0,0
0,70,0,0,1
0,70,0,0,0
0,70,0,0,0
0,70,0,0,0
0,70,0,0,1
0,70,0,0,1
0,70,0,0,1
0,70,0,0,0
0,71,50,1,1
0,71,50,1,1
1,71,250,1,1
1,71,53,1,1
0,71,50,1,1
0,71,58,1,0
0,71,0,0,0
0,71,0,0,0
0,72,0,0,1
0,72,0,0,0
0,72,0,0,0
0,72,0,0,0
0,73,400,1,1
0,73,200,1,0
0,73,200,1,0
1,73,0,0,1
0,73,0,0,0
0,74,100,1,0
1,74,68,1,1
0,74,0,0,1
0,74,0,0,0
0,74,0,0,1
0,74,0,0,1
0,74,0,0,0
0,75,0,0,0
0,75,0,0,1
0,75,0,0,0
0,76,300,1,0
0,76,0,0,0
0,76,0,0,0
0,76,0,0,0
0,76,0,0,0
0,76,0,0,1
0,76,0,0,1
0,77,300,1,0
1,77,0,0,1
0,77,0,0,0
0,78,250,1,1
0,78,0,0,0
0,79,31,1,1
0,79,0,0,1
0,79,0,0,0
0,79,0,0,1
0,79,0,0,1
0,80,30,1,1
0,80,0,0,1
0,80,0,0,1
0,81,15,1,1
0,81,0,0,1
0,82,0,0,1
0,83,100,1,0
0,85,250,1,0
0,87,0,0,0
0,91,0,0,0
0,93,0,0,1
