Date,SolPres,PubTV
2002 ene,12.97065,7.212725
2002 feb,15.38714,9.44357
2002 mar,13.22957,7.53425
2002 abr,12.97065,7.212725
2002 may,15.38714,9.44357
2002 jun,11.72288,6.415215
2002 jul,10.06177,5.80699
2002 ago,10.82279,6.2036
2002 sep,13.28707,7.58643
2002 oct,14.57832,8.004935
2002 nov,15.60542,8.83498
2002 dic,15.93515,8.957255
2003 ene,16.99486,9.53299
2003 feb,16.87821,9.39295
2003 mar,16.45128,8.91856
2003 abr,15.28118,8.37412
2003 may,15.88901,9.844505
2003 jun,15.67747,9.84939
2003 jul,13.2878,8.40273
2003 ago,12.64484,7.920675
2003 sep,11.82771,7.436085
2003 oct,9.69184,6.34049
2003 nov,10.30415,6.939995
2003 dic,11.38253,6.9771
2004 ene,12.95149,8.010201
2004 feb,13.63092,9.56546
2004 mar,9.12098,6.27251
2004 abr,8.39468,5.707495
2004 may,12.30076,7.96354
2004 jun,13.84831,8.494221
2004 jul,15.96246,9.789085
2004 ago,14.19738,8.692825
2004 sep,12.85922,8.05723
2004 oct,12.08837,7.588995
2004 nov,12.93375,8.244881
2004 dic,11.72235,6.67554
2005 ene,15.47126,9.219604
2005 feb,18.43898,10.9638
2005 mar,17.49186,10.45629
2005 abr,14.49168,8.7286
